level_0,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
145,145,1577487370,quilt life patchwork devot thought inspir librari paperback,tatem,2000,barbour
146,146,0753811464,maya,g jostein,2001,ma
147,147,0590110225,mighti,p rodman,1998,scholastic
148,148,0836228790,dilbert bunch dilbert book main street edit,scott,1997,andrew
149,149,0836221966,need experi got attitud,scott,1996,andrew
150,150,0312860951,reliquari,preston,1997,martin
151,151,0380717972,halfway home,paul,1992,harpercollin
152,152,0226067114,christian social toler homosexu gay peopl western europ begin christian era fourteenth centuri,b john,1981,university
153,153,1561707236,soul perfect journey soul,b sylvia,2000,hay
154,154,0062500287,flight seventh moon teach shield,lynn,1985,publisher
155,155,0889652066,make home strategi domest challeng,c salzmann,2001,horizon
156,156,038072930X,turbul soul cathol son return jewish famili,stephen,1999,perennial
157,157,0316754315,morn sex fear femin campu,k roiphe,1993,little
158,158,8817844330,confucio nel comput memoria accident del futuro,c furio,1995,eri
159,159,067170463X,murder orient express,christie,1978,pocket
160,160,0373123086,blind date bride australian,emma,2003,harlequin
161,161,0373123523,parisian playboy love bo,b helen,2003,harlequin
162,162,0739307312,da vinci code,b dan,2003,random
163,163,8420483885,el club duma ediciãâ³n en espaãâ±ol,reverte,1999,edicione
164,164,8484509125,el ultimo adio,c mary,2002,distribook
165,165,0553291025,die,j kelman,1993,bantam
166,166,0061054267,ancient shore,j mcdevitt,1996,eo
167,167,0380898179,worthi love,e woodiwiss,1989,harpercollin
168,168,0345314247,blue adept apprent adept paperback,piers,1982,ballantine
169,169,0743458036,royal physician visit novel,e per,2002,washington
170,170,0671010115,gone fishin featur origin easi rawlin short stori smoke easi rawlin mysteri paperback,walter,1998,pocket
171,171,0486270718,invi man dover thrift edit,g wells,1992,dover
172,172,0345260627,splinter mind eye,foster,1978,ballantine
173,173,1551669463,italian,c elaine,2002,mira
174,174,0843951346,seduc rogu,c mason,2003,leisure
175,175,1551666855,love knot,b rebecca,2003,mira
176,176,0451208412,race moon,c edwards,2003,signet
177,177,0843952059,viril vike,h sandra,2003,leisure
178,178,0553583565,steal heaven,h madeline,2002,bantam
179,179,0804119953,way grace,f lee,2002,ivy
180,180,0843950803,reckless embrac leisur histor romanc,b madeline,2002,leisure
181,181,0060001445,high wife,victoria,2002,avon
182,182,0440236401,temptress bride quest,c delacroix,2001,company
183,183,0804110867,peopl skeleton rebecca schwartz mysteri,j smith,1994,ivy
184,184,0743456823,life dax star trek deep space nine,palmieri,2002,star
185,185,325723273X,richtig leben mit geri weibel,suter,2001,verlag
186,186,1568650418,elric saga pt ii,moorcock,1984,doubleday
187,187,0394757653,simpl art murder vintag crime,c raymond,1988,vintage
188,188,0156005778,mister sandman harvest book,b gowdy,1998,harvest
189,189,0375727434,hateship friendship courtship loveship marriag stori,munro,2002,vintage
190,190,1401068049,revel fall judea,williams,2002,corporation
191,191,0425189082,etruscan chimera archaeolog mysteri,h lyn,2003,berkley
192,192,0671002384,ancient blood day honor one star trek next gener,c diane,1997,star
193,193,0553240307,sudden death,b rita,1984,bantam
194,194,0425143341,curfew,p rickman,1994,berkley
195,195,0812589831,peopl owl first north american,g oneal,2004,forge
196,196,0020519109,old man sea scribner classic,e hemingway,1987,collier
197,197,0451525078,quixot la mancha,c saavedra,1990,signet
198,198,1878067745,solo adventur,f susan,1996,seal
199,199,0689823517,danc,e richard,1999,simon
200,200,0345302745,speaker mandarin,r rendell,1990,fawcett
201,201,0451450876,shadowrun choo enemi care shadowrun roc,c robert,1996,roc
202,202,0743417720,third witch novel,r reisert,2002,washington
203,203,1857027795,dive bell butterfli,b jean,1997,fourth
204,204,0967224918,b care,h shannon,2001,wood
205,205,3492215416,champagn und kamillent,f stalmann,1992,piper
206,206,0425175006,bodi beach fether mysteri fether mysteri hardcov,b simon,2000,crime
207,207,0553378260,rita memoir literari rabbl rouser,b rita,1999,bantam
208,208,0500280673,celtic border,meehan,1999,thame
209,209,3257204833,klein mordgeschichten fã ãâ¼r tierfreund,h patricia,1979,verlag
210,210,0385721617,juno juliet novel,g julian,2002,doubleday
211,211,0451150635,differ season tv,k stephen,1986,signet
212,212,3492225926,da wã ãâ¼ten der ganzen welt,h,1999,piper
213,213,0684836483,two hundr fifti thing make cat ador,newkirk,1998,fireside
214,214,0440235758,go overboard,c skye,2001,island
215,215,8807014467,la compagnia,benni,1993,feltrinelli
216,216,0590129988,clockwork wound,p pullman,1998,scholastic
217,217,0451518845,jane eyr,b charlotte,1999,library
218,218,0345395190,orion arm rampart world book two may julian rampart world bk two,j may,2000,del
219,219,0440911710,camilla laurel leaf book,l madeleine,1982,leaf
220,220,0156007568,year laura diaz,c fuentes,2001,harvest
221,221,0590997262,stranger animorph paperback number,katherine,1997,scholastic
222,222,0590213040,andalit gift animorph megamorph one,k,1997,scholastic
223,223,1562470043,meet felic american girl one thousand seven hundr seventi four american girl collect book one,valerie,1991,company
224,224,1562475150,meet josefina american girl american girl collect paper,valerie,1997,company
225,225,8806134817,quel che resta del giorno,kazuo,1998,einaudi
226,226,0140380361,root cellar,j swoboda,1996,puffin
227,227,1573222623,drink coff elsewh today show book club eleven,p zz,2003,riverhead
228,228,1890159018,ethic slut guid infinit sexual possibl,easton,1998,greenery
229,229,1561703249,western guid feng shui creat balanc harmoni prosper environ feng shui,c terah,1996,hay
230,230,0553213539,invi man bantam classic,g wells,1983,bantam
231,231,0375704906,lie die vintag crime black lizard,r rendell,1999,vintage
232,232,9722110195,era bom que trocãâ¡ssemo uma ideia sobr assunto romanc campo da palavra,c mãâ¡rio,1995,caminho
233,233,0393308839,flash fiction short stori,j thomas,1992,company
234,234,0451524039,diari madman,g vasilevich,1994,signet
235,235,8475966519,labomin crim de lalsina graell narrativa,c pep,1999,editorial
236,236,0743200349,third miracl novel,r vetere,2000,touchstone
237,237,0553067966,simpl live guid sourcebook le stress joy live,j luhrs,1997,broadway
238,238,0349100136,man truce,l primo,1987,abacu
239,239,0486415910,connecticut yank king arthur court dover thrift edit,twain,2001,dover
240,240,0451138481,life penalti,f joy,1994,signet
241,241,0525946241,pictur maker,k spinka,2002,dutton
242,242,2070756319,le dictateur et le hamac,pennac,2003,gallimard
243,243,0553263579,autobiographi miss jane pittman,e j,1982,bantam
244,244,0441007015,seven song merlin lost year merlin bk two,barron,2000,ace
245,245,0394717406,africa,isak,1972,random
246,246,1583940634,diari teenag girl account word pictur,g phoebe,2002,frog
247,247,0425192695,girl summer,b bretton,2003,berkley
248,248,0440241286,gun monkey,g victor,2003,dell
249,249,0553208799,chancellor manuscript,l robert,1981,bantam
250,250,0446512923,lord danc passov trilog,greeley,1984,warner
251,251,0671531409,midsumm night dream,william,1984,pocket
252,252,0345309014,second foundat foundat novel paperback,isaac,1983,ballantine
253,253,0671888021,lame deer seeker vision,e richard,1994,pocket
254,254,0142002054,diamond forev jame bond novel,f ian,2002,penguin
255,255,0553142046,dragonsong,mccaffrey,1976,bantam
256,256,0786889527,night garden,e swann,2000,hyperion
257,257,0679402470,millroy magician,p theroux,1994,random
258,258,067166607X,bambi bambi,f salten,1988,aladdin
259,259,3442353793,de teufel kardin,folsom,2000,goldmann
260,260,0380803151,avalanch soldier,susan,1999,eo
261,261,0451205294,fatal care,g leonard,2001,signet
262,262,0375503218,cat spit mcgee,willie,1999,random
263,263,056353723X,earth year cornflak earth,faith,2000,bbc
264,264,0812504755,legend sleepi hollow,washington,1990,tor
265,265,0836217616,child within awaken cathi collect old ladi outsid collap cathi collect,c guisewite,1994,andrew
266,266,0886777828,dream tree dreamston tree sword jewel,c j,1997,daw
267,267,059045899X,amber brown crayon amber brown paperback,paula,1995,jump
268,268,0758201605,last write levin laura jain austen mysteri,l levine,2003,corporation
269,269,044022831X,love four letter word laurel leaf book,c mackler,2002,leaf
270,270,0060954884,anna king siam,l margaret,1999,perennial
271,271,0312272766,plan b,j tropper,2001,martin
272,272,0842343253,nicola high left behind kid five,b jenkins,1999,publisher
273,273,0553574302,chalic blade,g mcreynolds,1998,bantam
274,274,0440225892,heiress bride quest seri three,c delacroix,1999,company
275,275,0694014532,heidi book charm charm classic,j spyri,2000,harperfestival
276,276,0449131793,barrier island,j macdonald,1991,fawcett
277,277,038548562X,choo sex babi method best support scientif evid,b shettles,1997,street
278,278,1891620487,american great,r wilson,1999,publicaffair
279,279,0380820870,shadow glori,parry,2001,harpertorch
280,280,0066211085,rebecca tale,b sally,2001,company
281,281,042517476X,group six peopl search life,p solotaroff,2000,berkley
282,282,0393960579,awaken authorit text biograph histor context critic norton critic edit,c kate,1994,company
283,283,0553206516,snow leopard,peter,1979,bantam
284,284,0486282694,winesburg ohio dover thrift edit,sherwood,1995,dover
285,285,0140291903,manhattan memoir,c mary,2000,penguin
286,286,0590443518,help im prison librari,c eth,1991,scholastic
287,287,0842343288,death strike left behind kid,j jenkins,2000,publisher
288,288,1565120310,daughter memori,janis,1993,hill
289,289,0446690295,bondwoman narr,c hannah,2003,warner
290,290,0307157857,car truck thing go,r scarry,1998,golden
291,291,0553092626,play ash,e george,1994,bantam
292,292,3257229739,tsugumi,b yoshimoto,1997,verlag
293,293,0684856476,rum diari novel,h thompson,1999,simon
294,294,2742739351,le soldat de salamin,c javier,2002,acte
295,295,8479018682,cuento para pensar stori think,b jorge,1997,alfaguara
296,296,0743410246,lesser evil star trek deep space nine mission gamma book four,r simpson,2002,star
297,297,0743445643,cathedr star trek deep space nine mission gamma book three,martin,2002,star
298,298,0743445627,gray spirit star trek deep space nine mission gamma book two,h jarman,2002,star
299,299,0671026364,resurrect ravana buffi vampir slayer,g ray,2000,simon
300,300,3453149874,da dilbert prinzip,scott,1998,heyne
301,301,0312980345,second thyme around,f katie,2002,martin
302,302,0571097103,whitsun wed,l philip,1964,faber
303,303,0441006329,color distanc,thomson,1999,ace
304,304,0886775744,book earth dragon quartet,b marjorie,1995,daw
305,305,042518627X,mister posterior geniu child,e jenkins,2002,berkley
306,306,1551667533,recip easi live,matlock,2003,mira
307,307,0553581430,last puzzl testament puzzl ladi mysteri paperback,h parnell,2001,bantam
308,308,1551662906,home eden,schulze,1997,mira
309,309,0425196453,marriag test,b krahn,2004,berkley
310,310,0140254749,medicin river,k thomas,1991,penguin
311,311,0385497091,thumbsuck,k walter,1999,doubleday
312,312,0071352430,net slave true tale work web,b lessard,1999,trade
313,313,0375421726,nigger strang career troublesom word,k randall,2002,pantheon
314,314,2070368378,elog de la fessã ãâ©e,j serguine,1976,gallimard
315,315,0965881199,diari adam eve,twain,1998,fair
316,316,0393038025,rl dream novel,walter,1995,company
317,317,0451525426,arabian night marvel wonder thousand one night,j zipes,1991,signet
318,318,055357342X,storm sword song ice fire book three,g r,2003,spectra
319,319,0440211158,skin,k koja,1994,company
320,320,0140262776,crimin,l margot,1997,penguin
321,321,0385317042,sister bone,c hanauer,1997,dell
322,322,0451184149,soul keep,h judith,1997,signet
323,323,0679411267,end pier,g martha,1992,random
324,324,0312032978,brighten corner,c fred,1989,martin
325,325,0060920076,afflict,b russell,1990,perennial
326,326,0802116175,great ape,self,1997,west
327,327,0140298363,mr phillip,j lanchester,2001,penguin
328,328,0670871753,listmak,k robin,1997,viking
329,329,0380701006,insid outsid book new york citi,h wouk,1986,avon
330,330,0451522303,anim farm,g orwell,1956,signet
331,331,0441005152,scale justic return dragon fanuilh,hood,1998,ace
332,332,3404136012,wintermond unheimlich roman,koontz,1994,lã
333,333,3453092007,die zweit haut,koontz,1995,heyne
334,334,0373320132,lord hi cliff manor gothic romanc,pascoe,1986,harlequin
335,335,0575075546,soddit cash gollancz sf,r roberts,2003,gollancz
336,336,0330020706,town like alic,n shute,1961,pan
337,337,0679767959,heartburn,e nora,1996,vintage
338,338,1568842406,windowsãâ¨ nineti five dummiesãâ¨,rathbone,1995,son
339,339,0849912903,end age novel,p robertson,1995,thoma
340,340,0446527696,edg town,garlock,2001,warner
341,341,0446609749,get back,william,2001,warner
342,342,0312155859,mari queen scotland isl novel,g margaret,1997,martin
343,343,0312869061,swell foop xanth novel hardcov,piers,2001,tor
344,344,0312873085,elixir,b gary,2000,martin
345,345,0028625757,complet illustr guid everyth sold hardwar store,e steve,1998,son
346,346,0060174056,tenni partner,verghese,1998,publisher
347,347,0750005815,whitbi witch whitbi seri,j robin,1991,hodder
348,348,0758204930,life la mode,l lenhoff,2003,straple
349,349,3795116074,wã ãâ¼stenblum,waris,1998,schneekluth
350,350,3499129728,karussel de leben roman,p rosamunde,1991,rowohlt
351,351,3462025864,fever pitch ballfieb die geschicht ein fan,h nick,2002,kiepenheuer
352,352,0340581239,blindfold,h siri,1994,trafalgar
353,353,0451411285,sing home,c jerri,2004,onyx
354,354,1928556396,search virginia dare fool errand,h marjorie,2003,carolina
355,355,0425181480,bump run,l mike,2001,berkley
356,356,0373075286,mclain law premier silhouett intim moment five hundr twenti eight,b kylie,1993,silhouette
357,357,0373291019,angel knight histor five hundr one,hall,2000,harlequin
358,358,0373482957,tiger princ,b sandra,1994,silhouette
359,359,0385031386,irrat man studi existenti philosophi,b william,1962,anchor
360,360,1860463312,miss smilla feel snow,h peter,1997,havill
361,361,8477201447,el alquimista,c paulo,1996,aim
362,362,0060580208,held captiv kidnap rescu elizabeth smart,h maggie,2003,avon
363,363,0964109964,front runner,n warren,1996,wildcat
364,364,0553251503,soulmat,j stearn,1990,bantam
365,365,0393321096,abyssinian novel,c rufin,2000,company
366,366,038071681X,ghost girl true stori child peril teacher save,h torey,1992,avon
367,367,0156907380,lighthou,v woolf,1978,harvest
368,368,1573245038,littl book let go revolutionari thirti day program clean mind lift spirit replenish soul,h prather,2000,conari
369,369,0441231942,crisi doona,mccaffrey,1992,ace
370,370,0886773768,sword dancer sword daw fantasi,j roberson,1986,daw
371,371,0812536509,pride lion celtic world morgan llywelyn,l morgan,1997,tor
372,372,0812553993,lion ireland celtic world morgan llywelyn,l morgan,1996,tor
373,373,0679750932,idea fun,self,1995,vintage
374,374,0449909050,think loud person polit public privat,quindlen,1994,ballantine
375,375,014044582X,last day socrat euthyphro apolog crito phaedo penguin classic,plato,1995,penguin
376,376,0425169375,best friend joanna trollop,j trollope,1999,berkley
377,377,055357874X,find mr right,c emily,1999,bantam
378,378,0374190771,look ship,j mcphee,1990,farrar
379,379,0875425011,charm spell formula,ray,1986,llewellyn
380,380,0875422462,crystal heal next step llewellyn new age,g phyllis,1988,llewellyn
381,381,1570627193,confess pagan nun,h kate,2001,shambhala
382,382,0439313899,conver god teen,walsch,2002,scholastic
383,383,0609608045,may angel psychic help find spirit guid true purpo,g quinn,2001,harmony
384,384,1855381125,witch alon thirteen moon master natur magic,g marian,1991,aquarian
385,385,0738700339,llewellyn two thousand two magic almanac,b barlow,2001,llewellyn
386,386,1932560491,bedtim stori woman,nancy,2003,llumina
387,387,0590433857,hello mallori,martin,1988,scholastic
388,388,0671656589,heaven,v,1987,pocket
389,389,8807813483,alto sinistra univers economica feltrinelli,e luca,1995,feltrinelli
390,390,8806161741,opera sullacqua e altr poesi,e luca,2002,einaudi
391,391,0864426224,lone planet pari pari two ed,robinson,1998,lonely
392,392,2266067249,lhomm qui murmurait ã ãâ loreil de chevaux,e nicholas,1997,pocket
393,393,2070380742,le courrier de la mort,magnan,1988,edition
394,394,0679404856,dave barri japan,b dave,1992,random
395,395,0884042871,death quest mission earth seri vol six,h ron,1987,bridge
396,396,0828103054,civil war american heritag librari,b catton,1985,mariner
397,397,0812561589,spotlight,b carole,2001,forge
398,398,0670884839,littl blue dress,b maddox,2001,viking
399,399,0553211234,pickwick paper,c dickens,1983,bantam
400,400,034066049X,well groom,f walker,1997,coronet
401,401,0060969911,get act togeth seven day get organ program overwork overbook overwhelm,p young,1993,perennial
402,402,342310516X,wenn ein reisend einer winternacht,c italo,1999,dtv
403,403,0330262726,smiley peopl,c le,1980,pan
404,404,0330253565,honour schoolboy,c le,1978,pan
405,405,0517881004,vampir encyclopedia,b matthew,1993,crown
406,406,1555834310,alec baldwin love trial queer life,f thomas,1998,alyson
407,407,0553284347,toxic parent overcom hurt legaci reclaim life,f susan,1990,bantam
408,408,0060542799,hour kill novel,k yapalater,2004,harpertorch
409,409,0449148238,buri life,n star,1993,fawcett
410,410,1892145057,bor tiboroc exhibit,k maira,2002,little
411,411,0380896419,injust j p beaumont mysteri,j jance,2004,avon
412,412,0689849176,ella,h peterson,1999,aladdin
413,413,0684870819,chocol teen soul lifechang stori young woman grow wise grow strong,kay,2000,fireside
414,414,1559210869,east wind west wind buck pearl orient novel pearl buck eight,b pearl,1993,moyer
415,415,0066212693,good girl gone bad,j medoff,2002,william
416,416,0373261047,real murder,h richard,1992,library
417,417,0892967544,first degr,rosenfelt,2003,mysteriou
418,418,0399148655,delic storm marian wood book,b giles,2003,wood
419,419,0316591122,fear fearless jone novel,walter,2003,little
420,420,0060193883,bloodhound die,l virginia,2003,harpercollin
421,421,0060005556,last die grippando jame,g james,2003,harpercollin
422,422,0609807420,busi plan bodi,j karas,2001,three
423,423,0312267177,catfish mandala two wheel voyag landscap memori vietnam,x,2000,picador
424,424,0399138439,three complet novel lightn face fear vision,r,1993,putnam
425,425,039951743X,pocket dictionari sign,b r,1992,perigee
426,426,0671541749,inva soldier fear star trek next gener forti one,wesley,1996,star
427,427,0766607208,treasuri illustr classic adventur huckleberri finn,twain,2002,modern
428,428,0140445145,twilight idol anti christ penguin classic,h r,1990,penguin
429,429,0553233890,pilgrim tinker creek,dillard,1982,bantam
430,430,0553346083,somewh coast main,hood,1988,bantam
431,431,0140181903,custom countri penguin twentieth centuri classic,e wharton,1990,penguin
432,432,0821771116,fall april zebra histor romanc,l plumley,2002,zebra
433,433,0451403967,devot,borchardt,1996,signet
434,434,0380818957,first come love avon light contemporari romanc,c ridgway,2002,avon
435,435,0345423658,wolf king,borchardt,2001,del
436,436,0743410262,educ carolin sonnet book,c patricia,2001,pocket
437,437,0446671339,quiet room journey torment mad,l schiller,1996,warner
438,438,8483101319,la ignorancia,k milan,2000,editore
439,439,1551669285,soul catcher maggi odel novel hardcov,kava,2002,mira
440,440,0385313861,go nativ,wright,1995,dell
441,441,2070381161,cest beau une vill la nuit,b richard,1989,folio
442,442,0515104531,physic evid,lyons,1990,jove
443,443,0553290266,golden orang,j wambaugh,1991,bantam
444,444,0446605956,spirit caller molli bearpaw mysteri,h jean,1998,warner
445,445,0812508424,shadow linger novel black compani chronicl black compani,c glen,1990,tor
446,446,0812555333,dark book two glitter stone novel black compani chronicl black compani,c glen,1998,tor
447,447,0441007880,scion ladi gil trilog book two,b rebecca,2000,ace
448,448,0451458842,glasswright journeyman,k mindy,2002,roc
449,449,0373291108,ladi keep harlequin histor,schulze,2000,harlequin
450,450,0590630938,dragonslay apprent point fantasi,c david,1998,scholastic
