User-ID,User-City,User-State,User-Age,User-Country,User-Decade
641,portland,oregon,69,united states,6
643,grenoble,rhonealpes,23,france,2
649,san diego,california,40,united states,4
650,santa cruz,california,46,united states,4
651,interlachen,florida,26,united states,2
657,chattanooga,tennessee,28,united states,2
660,ny,new york,52,united states,5
677,baton rouge,louisiana,27,united states,2
683,union,illinois,28,united states,2
685,stevens point,wisconsin,21,united states,2
695,alphen aan den rijn,zuid holland,48,netherlands,4
709,roanoke,virginia,14,united states,1
712,pratteln,baselland,29,switzerland,2
713,abingdon,na,49,united kingdom,4
714,austin,texas,53,united states,5
717,spring hill,florida,22,united states,2
726,eatontown,new jersey,31,united states,3
728,welsh,louisiana,32,united states,3
735,cortland,new york,29,united states,2
741,novinger,missouri,16,united states,1
744,ocala,florida,48,united states,4
746,longmont,colorado,36,united states,3
753,stockton,california,20,united states,2
756,scranton,pennsylvania,30,united states,3
757,philadelphia,pennsylvania,29,united states,2
758,duesseldorf,na,41,germany,4
759,primm springs,tennessee,30,united states,3
763,oakland,california,49,united states,4
765,york,pennsylvania,41,united states,4
769,birmingham,alabama,28,united states,2
771,ft sill,oklahoma,38,united states,3
774,wentzville,missouri,16,united states,1
776,auckland,na,23,new zealand,2
778,bradenton,florida,30,united states,3
780,woodland hills,california,21,united states,2
785,burbank,california,14,united states,1
786,panhandle,texas,48,united states,4
805,sonoma,california,34,united states,3
818,selangor,southeast asia,46,malaysia,4
819,deer park,new york,47,united states,4
824,albuquerque,new mexico,15,united states,1
827,mason city,iowa,29,united states,2
828,albuquerque,new mexico,35,united states,3
834,rockville,maryland,17,united states,1
843,deer lodge,tennessee,25,united states,2
850,bremen,bremen,22,germany,2
853,chesterfield,michigan,24,united states,2
882,berkeley,california,23,united states,2
883,brookfield,connecticut,43,united states,4
886,bozeman,montana,62,united states,6
887,castaic,california,30,united states,3
899,bielefeld,nordrheinwestfalen,23,germany,2
900,scranton,pennsylvania,25,united states,2
901,worcester,worcestershire,21,united kingdom,2
902,overland,missouri,18,united states,1
903,los angeles,california,19,united states,1
913,manchester,lancs,44,united kingdom,4
915,humble,texas,50,united states,5
938,calgary,alberta,55,canada,5
941,bend,oregon,33,united states,3
951,aglaura,new jersey,32,united states,3
965,las cruces,new mexico,24,united states,2
969,river forest,illinois,13,united states,1
973,eugene,oregon,55,united states,5
999,newark,delaware,21,united states,2
1003,tequesta,florida,32,united states,3
1008,boston,massachusetts,21,united states,2
1009,delano,minnesota,56,united states,5
1010,silver spring,maryland,26,united states,2
1016,clementon,new jersey,56,united states,5
1019,san diego,california,26,united states,2
1021,rowland,north carolina,21,united states,2
1022,newport news,virginia,37,united states,3
1024,charles town,west virginia,29,united states,2
1025,maidstone,england,33,united kingdom,3
1031,sparks,maryland,52,united states,5
1032,lockhart,texas,54,united states,5
1038,dallas,texas,26,united states,2
1040,los angeles,california,34,united states,3
1048,oakville,ontario,22,canada,2
1054,burnsville,minnesota,37,united states,3
1057,norwich,norfolk,19,united kingdom,1
1060,lincoln,nebraska,38,united states,3
1063,edmonton,alberta,19,canada,1
1075,hurst,texas,49,united states,4
1079,eugene,oregon,18,united states,1
1082,rochester,washington,36,united states,3
1083,newport news,virginia,31,united states,3
1093,needham,massachusetts,28,united states,2
1108,fairbanks,alaska,14,united states,1
1111,london,ontario,32,canada,3
1113,richmond,missouri,22,united states,2
1116,calgary,alberta,29,canada,2
1129,bothell,washington,53,united states,5
1133,kingswood,south australia,46,australia,4
1140,bridgewater,new jersey,19,united states,1
1150,jericho,vermont,25,united states,2
1155,smyrna,georgia,22,united states,2
1161,brier,washington,36,united states,3
1164,woburn,massachusetts,35,united states,3
1166,nantes,loireatlantique,22,france,2
1167,milwaukee,wisconsin,25,united states,2
1169,olympia,washington,27,united states,2
1178,heidelberg,badenwuerttemberg,36,germany,3
1180,storrs,connecticut,23,united states,2
1184,la mirada,california,38,united states,3
1200,westfield,new jersey,35,united states,3
1210,new york,new york,21,united states,2
1211,rennes,bretagne,22,france,2
1214,speicher,rheinlandpfalz,30,germany,3
1219,taiping,perak,17,malaysia,1
1223,orlando,florida,25,united states,2
1234,barbera del valles,barcelona,25,spain,2
1235,salt spring island,british columbia,35,canada,3
1248,dixon,california,32,united states,3
1249,surrey,british columbia,32,canada,3
1250,arlington,virginia,44,united states,4
1252,la,california,44,united states,4
1254, bennington ct,indiana,26,united states,2
1259,whistler,british columbia,29,canada,2
1261,el paso,texas,46,united states,4
1264,antelope,california,67,united states,6
1267,salem,oregon,37,united states,3
1279,long beach,california,18,united states,1
1281,london,england,32,united kingdom,3
1293,haddon twp,new jersey,74,united states,7
1294,victoria,british columbia,47,canada,4
1297,los gatos,california,30,united states,3
1309,walker,louisiana,28,united states,2
1330,swisttal,nordrheinwestfalen,45,germany,4
1331,lisboa,na,32,portugal,3
1343,bishop auckland,england,33,united kingdom,3
1361,wiesbaden,hessen,54,germany,5
1368,hopewell,virginia,22,united states,2
1372,frankfurt,hessen,34,germany,3
1375,dinwiddie,virginia,59,united states,5
1376,peoria,illinois,23,united states,2
1377,swansea,massachusetts,20,united states,2
1389,trenton,michigan,22,united states,2
1395,santa monica,california,34,united states,3
1396,santa barbara,california,35,united states,3
1399,york,maine,41,united states,4
1403,virginia beach,virginia,26,united states,2
1409,farmington hills,michigan,74,united states,7
1410,amherst,new york,22,united states,2
1412,winstonsalem,north carolina,47,united states,4
1417,fort collins,colorado,47,united states,4
1424,north avoca,new south wales,28,australia,2
1427,mililani,hawaii,22,united states,2
1433,woodbridge,california,54,united states,5
1434,bethel,vermont,33,united states,3
1435,st louis,missouri,36,united states,3
1436,sault ste marie,ontario,43,canada,4
1439,tilley,alberta,17,canada,1
1442,paris,ile de france,36,france,3
1448,la mesa,california,61,united states,6
1455,chehalis,washington,56,united states,5
1485,allendale,new jersey,30,united states,3
1486,montmorency,victoria,75,australia,7
1489,somerville,massachusetts,20,united states,2
1491,sheffield,england,22,united kingdom,2
1499,lawrence,kansas,35,united states,3
1500,brighton,england,14,united kingdom,1
1504,iowa city,iowa,62,united states,6
1511,cuyahoga falls,ohio,25,united states,2
1513,oak hill,virginia,40,united states,4
1515,bloomington,indiana,27,united states,2
1519,raleigh,north carolina,61,united states,6
1530,hartsdale,new york,26,united states,2
1535,virginia beach,virginia,69,united states,6
1539,calgary,alberta,77,canada,7
1548,brooklyn,new york,28,united states,2
1550,des moines,washington,28,united states,2
1554,lincoln,nebraska,29,united states,2
1558,normal,illinois,61,united states,6
1559,manchester,new hampshire,36,united states,3
1570,brooklyn,new york,28,united states,2
1585,albuquerque,new mexico,29,united states,2
1586,north muskegon,michigan,14,united kingdom,1
1591,flensburg,schleswigholstein,24,germany,2
1596,jackson,tennessee,51,united states,5
1597,west columbia,texas,23,united states,2
1608,collingswood,new jersey,27,united states,2
1617,chicago,illinois,24,united states,2
1619,visalia,california,41,united states,4
1641,winston salem,north carolina,22,united states,2
1650,victoria,british columbia,18,canada,1
1652,new york,new york,35,united states,3
1660,fort worth,texas,21,united states,2
1674,minneapolis,minnesota,26,united states,2
1688,chelmsford,england,53,united kingdom,5
1696,las palmas gc,las palmas,34,spain,3
1706,olympia,washington,26,united states,2
1718,framingham,massachusetts,28,united states,2
1719,sg,sg,32,singapore,3
1721,windsor,ontario,21,canada,2
1725,palma,illes balears,25,united kingdom,2
1730,el paso,texas,33,united states,3
1733,independence,west virginia,30,united states,3
1759,hollywood,florida,29,united states,2
1768,newington,connecticut,25,united states,2
1773,northridge,california,16,united states,1
1775,albuquerque,new mexico,14,united states,1
1790,chicago,illinois,25,united states,2
1791,harrisburg,pennsylvania,26,united states,2
1792,hutchinson,kansas,24,united states,2
1803,northville,new york,48,united states,4
1805,euless,texas,23,united states,2
1812,provo,utah,24,united states,2
1838,glens falls,new york,39,united states,3
1841,washington dc,dc,51,united states,5
1846,strasbourg,alsace,25,france,2
1848,bellingham,washington,22,united states,2
1859,sackville,new brunswick,53,canada,5
1863,feucht,bayern,43,germany,4
1869,westfield,massachusetts,21,united states,2
1881,binghamton,new york,31,united states,3
1892,fort wayne,indiana,47,united states,4
1898,waukegan,illinois,47,united states,4
1901,vancouver,british columbia,69,canada,6
1903,hualien,taiwan,36,taiwan,3
1905,baton rouge,louisiana,38,united states,3
1915,louisville,kentucky,49,united states,4
1918,london,england,23,united kingdom,2
1928,kansas city,missouri,17,united states,1
1933,honolulu,hawaii,46,united states,4
1937,bozeman,montana,42,united states,4
1945,wrightsville beach,north carolina,54,united states,5
1947,ottawa,ontario,18,canada,1
1949,wilmington,north carolina,57,united states,5
1951,karlsruhe,badenwrttemberg,28,germany,2
1978,saint louis,missouri,39,united states,3
1989,phoenix,arizona,27,united states,2
1996,sydney,new south wales,34,australia,3
2010,colfax,illinois,23,united states,2
2018,edson,alberta,21,canada,2
2019,carcavelos,na,29,portugal,2
2030,seabeck,washington,31,united states,3
2033,omaha,nebraska,27,united states,2
2035,longwood,florida,15,united states,1
2036,frenchtown,new jersey,49,united states,4
2041,playa del rey,california,23,united states,2
2060,pennsauken,new york,54,united states,5
2063,raleigh,north carolina,30,united states,3
2070,pembroke pines,florida,22,united states,2
2075,bonn,nordrheinwestfalen,29,germany,2
2084,logroo,la rioja,21,spain,2
2089,lynchburg,virginia,23,united states,2
2090,dudley,massachusetts,28,united states,2
2097,arlington,massachusetts,42,united states,4
2099,tucson,arizona,21,united states,2
2103,minneapolis,minnesota,43,united states,4
2105,new smyrna beach,florida,46,united states,4
2106,denver,colorado,44,united states,4
2108,houston,texas,29,united states,2
2109,winnipeg,manitoba,36,canada,3
2110,charlotte,north carolina,36,united states,3
2115,escondido,california,55,united states,5
2116,parrsboro,nova scotia,49,canada,4
2119,hartford,connecticut,37,united states,3
2127,high point,north carolina,21,united states,2
2132,hammond,indiana,36,united states,3
2134,oakland,california,35,united states,3
2135,irvine,california,20,united states,2
2136,salem,oregon,45,united states,4
2139,chesapeake,virginia,33,united states,3
2147,las vegas,nevada,35,united states,3
2148,los angeles,california,25,united states,2
2152,grosse pointe,michigan,30,united states,3
2169,hollister,california,19,united states,1
2170,kassel,hessen,29,germany,2
2172,quezon city,na,17,philippines,1
2178,linden,new jersey,55,united states,5
2179,sunderland,massachusetts,30,united states,3
2181,montreal,quebec,15,canada,1
2183,burnaby,british columbia,38,canada,3
2189,montreal,quebec,24,canada,2
2190,lenexa,kansas,29,united states,2
2197,nan,travelling,26,canada,2
2198,philadelphia,pennsylvania,58,united states,5
2199,launceston,tasmania,25,australia,2
2203,woking,surrey,40,united kingdom,4
2204,el cajon,california,23,united states,2
2216,mnster,nordrheinwestfalen,24,germany,2
2218,stratham,new hampshire,48,united states,4
2222,aptos,california,40,united states,4
2224,paris,ile de france,23,france,2
2230,harpers ferry,west virginia,44,united states,4
2238,san diego,california,34,united states,3
2250,charlotte,north carolina,38,united states,3
2253,saskatoon,saskatchewan,49,canada,4
2255,charlottesville,virginia,35,united states,3
2271,mooresville,north carolina,63,united states,6
2276,niskayuna,new york,46,united states,4
2281,vancouver,washington,30,united states,3
2287,north chili,new york,35,united states,3
2288,spring hill,tennessee,30,united states,3
2292,brighton,massachusetts,53,united states,5
2295,el sobrante,california,21,united states,2
2296,wenatchee,washington,61,united states,6
2312,roanoke,virginia,30,united states,3
2313,cincinnati,ohio,23,united states,2
2326,porto,porto,23,portugal,2
2333,ocean city,maryland,30,united states,3
2337,grove city,ohio,34,united states,3
2340,st louis,missouri,29,united states,2
2345,london,england,55,united kingdom,5
2350,st louis,missouri,24,united states,2
2354,ottawa,ontario,73,canada,7
2355,gatineau,quebec,56,canada,5
2357,philadelphia,pennsylvania,35,united states,3
2358,bryan,texas,23,united states,2
2363,mountain home,idaho,42,united states,4
2366,lathrup village,michigan,16,united states,1
2375,norfolk,virginia,20,united states,2
2376,bay village,ohio,38,united states,3
2379,london,england,34,united kingdom,3
2385,london,ontario,35,canada,3
2388,hawley,pennsylvania,64,united states,6
2399,kent,ohio,32,united states,3
2404,new york,new york,53,united states,5
2411,lake city,florida,37,united states,3
2414,edenhope,victoria,33,australia,3
2416,seville,na,21,spain,2
2417,lakeland,florida,35,united states,3
2421,durban,kwazulunatal,24,south africa,2
2437,san antonio,texas,45,united states,4
2439,atlanta,georgia,26,united states,2
2448,birmingham,england,29,united kingdom,2
2453,independence,missouri,33,united states,3
2461,san francisco,california,59,united states,5
2466,olathe,kansas,58,united states,5
2470,phoenix,arizona,22,united states,2
2481,st louis,missouri,34,united states,3
2484,asheville,north carolina,25,united states,2
2499,boulder,colorado,49,united states,4
2503,london,england,36,united kingdom,3
2515,reus,tarragona,38,spain,3
2528,the colony,texas,16,united states,1
2545,freiburg,badenwuerttemberg,48,germany,4
2549,nice,alpes maritimes,31,france,3
2550,montpellier,illinois,19,france,1
2559,santa rosa,california,29,united states,2
2562,wheeling,illinois,53,united states,5
2565,pensacola,friuli venezia giulia,58,united states,5
2569,santa rosa,california,52,united states,5
2578,burlington,ontario,16,canada,1
2580,ann arbor,michigan,16,united states,1
2584,bigfork,montana,51,united states,5
2589,shrewsbury,massachusetts,53,united states,5
2590,el cerrito,california,26,united states,2
2591,bloomington,illinois,56,united states,5
2605,marina del rey,california,33,united states,3
2611,vero beach,florida,40,united states,4
2622,los angeles,california,41,united states,4
2630,kingsland,texas,66,united states,6
2632,farmingdale,new york,47,united states,4
2634,addison,texas,53,united states,5
2638,burnaby,british columbia,43,canada,4
2640,college station,texas,24,united states,2
2643,cedar park,texas,28,united states,2
2644,austin,texas,44,united states,4
2651,harlingen,texas,27,united states,2
2653,los angeles,california,46,united states,4
2665,balozi,rigas rajons,38,latvia,3
2670,corpus christi,texas,38,united states,3
2679,westonsupermare,somerset,34,united kingdom,3
2681,christchurch,canterbury,60,new zealand,6
2685,monteporzio catoneroma,lazio,21,italy,2
2687,tucson,arizona,35,united states,3
2690,cordele,georgia,35,united states,3
2700,kenosha,wisconsin,29,united states,2
2719,staten island,new york,37,united states,3
2731,victoria,british columbia,37,canada,3
2738,milano,lombardia,32,italy,3
2749,bridge lake,british columbia,18,canada,1
2759,woodstock,new york,30,united states,3
2766,frisco,texas,42,united states,4
2770,champaign,illinois,34,united states,3
2776,dacula,georgia,54,united states,5
2789,barcelona,catalunya,28,spain,2
2790,san antonio,texas,50,united states,5
2793,jefferson,georgia,34,united states,3
2799,eugene,oregon,51,united states,5
2844,clinton township,michigan,61,united states,6
2850,san diego,california,19,united states,1
2853,cleveland,ohio,36,united states,3
2854,deptford,new jersey,36,united states,3
2855,dallas,texas,35,united states,3
2859,citrus heights,california,19,united states,1
2861,columbus,ohio,26,united states,2
2883,pacific grove,california,43,united states,4
2891,beaverton,oregon,33,united states,3
2892,portland,oregon,26,united states,2
2906,paris,ile de france,20,france,2
2907,new york,new york,54,united states,5
2914,san jose,california,34,united states,3
2936,london,london,30,united kingdom,3
2945,franklin,tennessee,29,united states,2
2948,raleigh,north carolina,24,united states,2
2954,wichita,kansas,71,united states,7
2966,wauconda,illinois,34,united states,3
2973,waukesha,wisconsin,33,united states,3
2977,richland,washington,25,united states,2
2982,montreal,quebec,34,canada,3
2992,san diego,california,20,united states,2
2995,belleville,illinois,61,united states,6
2996,milan,lombardia,21,italy,2
3005,mountain view,california,53,united states,5
3009,stratford,connecticut,61,united states,6
3017,roma,lazio,42,italy,4
3026,kuala lumpur,kuala lumpur,42,malaysia,4
3030,anchorage,alaska,33,united states,3
3032,sydney,new south wales,40,australia,4
3048,klamath falls,oregon,30,united states,3
3052,houston,texas,31,united states,3
3053,frankfurt,hessen,33,germany,3
3054,henrietta,new york,29,united states,2
3060,bartlett,tennessee,43,united states,4
3062,chicago,illinois,59,united states,5
3063,fort washington,maryland,57,united states,5
3077,lowell,massachusetts,35,united states,3
3079,asheville,north carolina,29,united states,2
3087,berthoud,colorado,20,united states,2
3088,avignon,vaucluse,25,france,2
3099,ume,vsterbotten,26,sweden,2
3100,oakland,california,42,united states,4
3104,watertown,massachusetts,27,united states,2
3106,memphis,tennessee,27,united states,2
3113,vernon,british columbia,54,canada,5
3114,girvan,scotland,22,united kingdom,2
3133,wapakoneta,ohio,34,united states,3
3142,lawrenceville,georgia,29,united states,2
3145,austin,texas,34,united states,3
3150,phoenix,arizona,51,united states,5
3154,new york,new york,44,united states,4
3165,janesville,wisconsin,25,united states,2
3166,dallas,georgia,15,united states,1
3167,milwaukee,wisconsin,42,united states,4
3168,mississauga,ontario,17,canada,1
3172,arlington,virginia,32,united states,3
3174,flagstaff,arizona,24,united states,2
3177,hamilton,na,44,new zealand,4
3191,sligo,connaught,29,ireland,2
3192,milwaukee,wisconsin,27,united states,2
3194,logan,utah,20,united states,2
3197,ore city,texas,38,united states,3
3200,pamplona,navarra,42,spain,4
3206,bilbao,vizcaya,23,spain,2
3243,atlanta,georgia,28,united states,2
3251,brescia,lombardia,45,italy,4
3260,lawrenceville,georgia,45,united states,4
3266,stockholm,na,37,sweden,3
3282,didsbury,alberta,52,canada,5
3289,petawawa,ontario,38,canada,3
3293,barcelona,barcelona,19,spain,1
3296,rochester,minnesota,63,united states,6
3300,cabot,arkansas,49,united states,4
3305,halifax,nova scotia,26,canada,2
3310,tucson,arizona,34,united states,3
3326,bonn,nordrheinwestfalen,37,germany,3
3329,grantsville,utah,37,united states,3
3331,mckeesport,pennsylvania,60,united states,6
3332,hartlepool,cleveland,54,united kingdom,5
3344,tucson,arizona,61,united states,6
3346,tehran,tehran,20,iran,2
3350,colorado springs,colorado,23,united states,2
3355,barcelona,barcelona,19,spain,1
3362,new york,new york,53,united states,5
3363,knoxville,tennessee,29,united states,2
3368,nashua,new hampshire,45,united states,4
3371,groveland,massachusetts,25,united states,2
3373,elk grove,california,30,united states,3
3374,ajax,ontario,47,canada,4
3379,toronto,ontario,16,canada,1
3393,aurora,illinois,55,united states,5
3404,montreal,quebec,36,canada,3
3416,aachen,nordrheinwestfalen,34,germany,3
3418,san diego,california,14,united states,1
3427,eldorado,illinois,50,united states,5
3437,honolulu,hawaii,29,united states,2
3445,la mirada,california,45,united states,4
3460,edmonton,alberta,32,canada,3
3462,amherst,new york,27,united states,2
3467,fort wayne,indiana,36,united states,3
3471,victoria,british columbia,28,canada,2
3472,seattle,washington,24,united states,2
3473,aptos,california,46,united states,4
3481,littleton,colorado,49,united states,4
3488,ljubljana,na,21,slovenia,2
3492,cupertino,california,40,united states,4
3505,florissant,missouri,30,united states,3
3507,chicago,illinois,35,united states,3
3508,edinburgh,scotland,46,united kingdom,4
3509,san diego,california,29,united states,2
3512,portales,new mexico,43,united states,4
3514,evansville,indiana,22,united states,2
3521,chilliwack,british columbia,52,canada,5
3532,fayetteville,new york,50,united states,5
3537,seattle,washington,54,united states,5
3538,madrid,madrid,31,spain,3
3543,elgin,texas,37,united states,3
3544,edgewater,maryland,58,united states,5
3546,milwaukee,wisconsin,27,united states,2
3556,bismarck,north dakota,68,united states,6
3569,nan,na,35,united states,3
3573,fair lawn,new jersey,32,united states,3
3578,halifax,nova scotia,25,canada,2
3580,essington,pennsylvania,44,united states,4
3588,marion,iowa,53,united states,5
3593,lahaina,hawaii,52,united states,5
3594,auckland,na,48,new zealand,4
3599,orlando,florida,37,united states,3
3601,tallahassee,florida,33,united states,3
3605,bristol,rhode island,28,united states,2
3619,washington,dc,36,united states,3
3628,easthampton,massachusetts,23,united states,2
3640,sacramento,california,33,united states,3
3643,robbinsdale,minnesota,53,united states,5
3648,durham,north carolina,56,united states,5
3656,inglewood,california,26,united states,2
3667,norfolk,virginia,28,united states,2
3669,williamsburg,massachusetts,34,united states,3
3670,brookline,massachusetts,51,united states,5
3674,mississauga,ontario,39,canada,3
3675,barcelona,catalunya,24,spain,2
3679,allston,massachusetts,25,united states,2
3693,hampton,virginia,23,united states,2
3694,raleigh,north carolina,16,united states,1
3709,lucama,north carolina,30,united states,3
3711,highlands ranch,colorado,56,united states,5
3719,eielson afb,alaska,18,united states,1
3728,pembroke pines,florida,40,united states,4
3752,langenthal,bern,44,switzerland,4
3756,round rock,texas,44,united states,4
3757,madrid,madrid,37,spain,3
3761,san diego,california,43,united states,4
3771,barcelona,na,17,spain,1
3775,port angeles,washington,57,united states,5
3780,eagle river,alaska,26,united states,2
3789,munich,bayern,25,germany,2
3792,sacramento,california,47,united states,4
3799,norwich,england,18,united kingdom,1
3800,loomis,california,30,united states,3
3814,langhorne,pennsylvania,19,united states,1
3816,roma,lazio,33,italy,3
3817,columbia,south carolina,29,united states,2
3821,scottdale,pennsylvania,36,united states,3
3827,orlando,florida,23,united states,2
3839,broomfield,colorado,25,united states,2
3840,meriden,connecticut,46,united states,4
3842,long beach,california,25,united states,2
3853,erie,colorado,21,united states,2
3865,chandler,arizona,25,united states,2
3869,chapel hill,north carolina,38,united states,3
3874,haarlem,northholland,27,netherlands,2
3884,arlington,washington,64,united states,6
3885,burlington,north carolina,30,united states,3
3893,dahlonega,georgia,34,united states,3
3894,grand canyon,arizona,33,united states,3
3910,allston,massachusetts,25,united states,2
3917,toronto,ontario,25,canada,2
3921,geneva,illinois,45,united states,4
3930,barcelona,catalunya,47,spain,4
3938,los banos,california,37,united states,3
3939,kenai,alaska,53,united states,5
3944,lloydminster,saskatchewan,39,canada,3
3948,asheville,north carolina,19,united states,1
3951,clearwater,florida,71,united states,7
3952,montevallo,alabama,32,united states,3
3954,detroit,michigan,24,united states,2
3965,st peters,missouri,28,united states,2
3975,cmch,new jersey,29,united states,2
3977,columbiana,alabama,63,united states,6
3983,north oaks,minnesota,38,united states,3
3999,new braunfels,texas,71,united states,7
4017,new orleans,louisiana,48,united states,4
4035,alameda,california,60,united states,6
4045,houston,texas,18,united states,1
4051,bath,england,37,united kingdom,3
4053,san francisco,california,18,united states,1
4066,birmingham,alabama,31,united states,3
4067,puyallup,washington,30,united states,3
4069,austin,texas,38,united states,3
4077,austin,texas,46,united states,4
4085,stratford,connecticut,25,united states,2
4090,haskell,new jersey,48,united states,4
4091,estill springs,tennessee,77,united states,7
4092,hixson,tennessee,27,united states,2
4096,newmarket,ontario,38,canada,3
4098,mei foo,kowloon,30,hong kong,3
4107,kelowna,british columbia,19,canada,1
4114,augsburg,bayern,34,germany,3
4120,dickinson,north dakota,28,united states,2
4122,portland,oregon,24,united states,2
4131,hemel hempstead,england,51,united kingdom,5
4138,austin,texas,20,united states,2
4143,san jose,california,57,united states,5
4144,winnipeg,manitoba,31,canada,3
4149,highland,utah,46,united states,4
4157,birmingham,alabama,39,united states,3
4164,anchorage,alaska,24,united states,2
4165,kasilof,alaska,53,united states,5
4169,fairbanks,alaska,57,united states,5
4170,douglas,alaska,40,united states,4
4179,fairbanks,alaska,18,united states,1
4181,anchorage,alaska,44,united states,4
4183,anchorage,alaska,57,united states,5
4185,graham,washington,63,united states,6
4187,wasilla,alaska,35,united states,3
4188,north pole,alaska,34,united states,3
4191,juneau,alaska,26,united states,2
4196,kasilof,alaska,23,united states,2
4197,anchorage,alaska,61,united states,6
4198,new port richey,florida,14,united states,1
4203,anchorage,alaska,42,united states,4
4208,jerusalem,na,35,israel,3
4221,nan,connecticut,59,united states,5
4223,oldenburg,niedersachsen,28,germany,2
4225,ottawa,ontario,33,canada,3
4226,w melbourne,florida,17,united states,1
4228,austin,texas,41,united states,4
4246,chester twp,new jersey,34,united states,3
4258,zurich,na,37,switzerland,3
4260,lyon,na,31,france,3
4273,minneapolis,minnesota,24,united states,2
4278,copenhagen,na,40,denmark,4
4285,adrian,michigan,50,united states,5
4292,weehawken,new jersey,43,united states,4
4303,calgary,alberta,22,canada,2
4333,fuengirola,mlaga,17,spain,1
4334,rome,lazio,38,italy,3
4339,lleida,catalunya,33,spain,3
4343,matsudo,chiba,38,japan,3
4358,whitewright,texas,39,united states,3
4365,victoria,british columbia,19,canada,1
4366,afton,new york,33,united states,3
4370,kingston,ontario,46,canada,4
4375,rockville,connecticut,32,united states,3
4385,albq,new mexico,33,united states,3
4386,rio rancho,new mexico,46,united states,4
4420,balgach,stgallen,24,switzerland,2
4426,des moines,iowa,19,united states,1
4431,lewisville,texas,39,united states,3
4433,ploiesti,prahova,17,romania,1
4435,roma,lazio,30,italy,3
4444,washington,dc,29,united states,2
4483,aldergrove,british columbia,39,canada,3
4497,vienna,na,25,austria,2
4516,greenville,south carolina,66,united states,6
4521,victoria,british columbia,25,canada,2
4524,la spezia,liguria,26,italy,2
